Date, Open, High, Low, Close
07/22/22, 200.0000, 200.8000, 196.7300, 197.9000
07/21/22, 197.6300, 200.0700, 196.4550, 200.0700
07/20/22, 196.4300, 198.7492, 195.9900, 198.1100
07/19/22, 193.2700, 196.7200, 192.9900, 196.5200
07/18/22, 194.2900, 194.7700, 190.5400, 191.1800
07/15/22, 191.1900, 192.5500, 189.9800, 192.5100
07/14/22, 187.2800, 189.1900, 185.5800, 188.8400
07/13/22, 187.7900, 191.0900, 187.3900, 189.6800
07/12/22, 192.0000, 193.2387, 189.6000, 190.5100
07/11/22, 193.3800, 193.7500, 191.8100, 192.1700
07/08/22, 194.0600, 195.6989, 193.0100, 194.6300
07/07/22, 192.6300, 195.2200, 192.5900, 194.8300
07/06/22, 191.2900, 192.9000, 189.8800, 191.6700
07/05/22, 188.3600, 191.3100, 186.3600, 191.2900
07/01/22, 188.1900, 190.8700, 186.9000, 190.6100
06/30/22, 188.0000, 190.3100, 186.1300, 188.6200
06/29/22, 190.7900, 191.1799, 189.1800, 190.2600
06/28/22, 195.4400, 196.8500, 190.5600, 190.5800
06/27/22, 195.6300, 196.0100, 193.9039, 194.5900
06/24/22, 190.9200, 195.2200, 190.5900, 195.1900
06/23/22, 188.1300, 189.5700, 186.4600, 189.0800
06/22/22, 185.9100, 189.9499, 185.6205, 188.1300
06/21/22, 186.6900, 189.0300, 186.6900, 188.1600
06/17/22, 183.2600, 185.4050, 181.8000, 183.7100
06/16/22, 185.3800, 185.6800, 181.6701, 183.0200
06/15/22, 188.6100, 192.1299, 186.1800, 189.6400
06/14/22, 188.5100, 189.0500, 185.2700, 186.9200
06/13/22, 190.6500, 191.1800, 186.6800, 187.4500
06/10/22, 198.3900, 198.3900, 195.3600, 195.4300
06/09/22, 205.4200, 206.3300, 201.3800, 201.4100
06/08/22, 207.9300, 208.7000, 205.9100, 206.3500
06/07/22, 204.6300, 208.8800, 204.3510, 208.6900
06/06/22, 208.1200, 208.7850, 205.9100, 206.4500
06/03/22, 206.6800, 207.6050, 205.3000, 205.8400
06/02/22, 205.0000, 209.2000, 204.0000, 209.1800
06/01/22, 207.6700, 208.3150, 203.4600, 205.0000
05/31/22, 207.1700, 208.3500, 205.1900, 206.3600
05/27/22, 204.2700, 208.0900, 204.1800, 208.0700
05/26/22, 199.4000, 203.8000, 199.3700, 202.9300
05/25/22, 195.9500, 199.8600, 195.7782, 198.8600
05/24/22, 196.5700, 197.3000, 193.3190, 196.6700
05/23/22, 196.6500, 199.1500, 195.4600, 198.6600
05/20/22, 197.0400, 197.5400, 190.6600, 195.3200
05/19/22, 194.4900, 197.6600, 193.8750, 195.3200
05/18/22, 201.8200, 202.0200, 195.4400, 196.1900
05/17/22, 203.3800, 204.2599, 201.1600, 204.1800
05/16/22, 200.3900, 201.8600, 198.8600, 199.9100
05/13/22, 197.9100, 201.7500, 197.7400, 200.9000
05/12/22, 194.0600, 197.5900, 192.1200, 195.6600
05/11/22, 198.5900, 201.6347, 195.1500, 195.4500
05/10/22, 201.8900, 202.7100, 196.5500, 199.0500
05/09/22, 203.0000, 203.3816, 197.8600, 198.6500
05/06/22, 206.4200, 207.8200, 203.1073, 205.9500
05/05/22, 213.2900, 213.3900, 205.4550, 207.6200
05/04/22, 209.7200, 215.9100, 207.6920, 215.5700
05/03/22, 208.4900, 210.6100, 207.8800, 209.4300
05/02/22, 207.1500, 209.1300, 203.7100, 208.4400
04/29/22, 212.9000, 214.3100, 206.7100, 206.8800
04/28/22, 211.8800, 215.7500, 209.4500, 214.7700
04/27/22, 209.8500, 212.4000, 208.5500, 209.6600
04/26/22, 214.2600, 214.4073, 209.2500, 209.2500
04/25/22, 213.0700, 215.7000, 210.7900, 215.3900
04/22/22, 219.7300, 219.7300, 214.0200, 214.2200
04/21/22, 225.7000, 226.6800, 219.7000, 220.2200
04/20/22, 225.0000, 225.5176, 223.4000, 223.8800
04/19/22, 220.2300, 224.6000, 220.2300, 224.1700
04/18/22, 220.4100, 221.2900, 219.1513, 220.2900
04/14/22, 223.5800, 224.2090, 220.6100, 220.6700
04/13/22, 220.5100, 223.7850, 220.2700, 223.3900
04/12/22, 222.8600, 224.5000, 219.7400, 220.5000
04/11/22, 223.1700, 223.5700, 221.0000, 221.1800
04/08/22, 224.9800, 226.3500, 223.9100, 224.6900
04/07/22, 224.2000, 226.4400, 222.6372, 225.3900
04/06/22, 225.0300, 225.8400, 222.9401, 224.5400
04/05/22, 229.8900, 230.8800, 226.5800, 227.1500
04/04/22, 228.8600, 230.5400, 228.3800, 230.5200
04/01/22, 228.6600, 228.7500, 226.6300, 228.5800
03/31/22, 230.6800, 231.3200, 227.6100, 227.6700
03/30/22, 232.3900, 232.8100, 230.0300, 231.1600
03/29/22, 231.4200, 233.3600, 230.4500, 233.0500
03/28/22, 228.0300, 229.5700, 226.4800, 229.5700
03/25/22, 227.5700, 228.2500, 225.9000, 228.0900
03/24/22, 225.0100, 227.1900, 224.3335, 227.1200
03/23/22, 225.7300, 226.5000, 223.9300, 223.9300
03/22/22, 225.7800, 228.1500, 225.5950, 227.7300
03/21/22, 225.4400, 226.2000, 223.0650, 224.9700
03/18/22, 221.9900, 225.4500, 221.4300, 225.1800
03/17/22, 218.5300, 222.6000, 218.2800, 222.5800
03/16/22, 216.3600, 219.6400, 213.9900, 219.6400
03/15/22, 211.0000, 214.6400, 210.5000, 214.2800
03/14/22, 212.2800, 213.8100, 209.2700, 209.9000
03/11/22, 216.3200, 216.5400, 211.7000, 211.9900
03/10/22, 213.7700, 215.3500, 212.3000, 214.9100
03/09/22, 214.6700, 216.9100, 213.5700, 215.8800
03/08/22, 211.0700, 215.4900, 209.2826, 210.0500
03/07/22, 217.6800, 217.9200, 211.2200, 211.2400
03/04/22, 218.2100, 218.6100, 215.8500, 217.9600
03/03/22, 222.5400, 223.0900, 219.1900, 220.1600
03/02/22, 219.0000, 222.6100, 218.4210, 221.8500
03/01/22, 220.6200, 221.4900, 216.3300, 217.7200
02/28/22, 219.2500, 222.0600, 218.2500, 221.1700
02/25/22, 217.2800, 221.4400, 216.1600, 221.4100
02/24/22, 207.6400, 216.8500, 207.0000, 216.5900
02/23/22, 218.5700, 218.8250, 212.5700, 212.8600
02/22/22, 218.1100, 220.0800, 215.0600, 216.8500
02/18/22, 221.1400, 221.9900, 218.2102, 219.3700
02/17/22, 224.4100, 224.7000, 220.7150, 221.1400
02/16/22, 225.0000, 226.8800, 223.8138, 226.2800
