Date,Close/Last,Volume,Open,High,Low
02/17/2017,80.65,29874,80.21,80.65,80.19
02/16/2017,81.10,18561,81.20,81.29,80.96
02/15/2017,80.97,55227,80.58,81.09,80.5118
02/14/2017,80.15,45151,80.20,80.25,79.63
02/13/2017,80.25,51502,80.18,80.5829,80.00
02/10/2017,79.74,35031,79.32,79.88,79.29
02/09/2017,79.42,25509,79.22,79.60,79.22
02/08/2017,78.85,30693,78.39,78.95,78.247
02/07/2017,77.72,58773,77.91,78.006,77.51
02/06/2017,77.57,27221,77.57,77.80,77.51
02/03/2017,77.37,56050,77.38,77.55,77.14
02/02/2017,77.39,56156,77.03,77.47,77.00
02/01/2017,77.30,22249,77.67,77.7992,77.10
01/31/2017,77.28,91846,76.99,77.36,76.963
01/30/2017,77.09,77314,76.97,77.14,76.72
01/27/2017,77.38,35541,77.53,77.62,77.22
01/26/2017,77.66,55474,77.82,77.889,77.5324
01/25/2017,77.56,32345,77.19,77.6228,77.185
01/24/2017,77.11,86787,76.72,77.26,76.71
01/23/2017,76.47,34256,76.13,76.50,76.05
01/20/2017,75.86,46861,76.013,76.09,75.64
01/19/2017,75.98,47968,76.44,76.44,75.77
01/18/2017,76.34,120161,76.42,76.42,76.055
01/17/2017,75.82,66668,75.82,75.92,75.64
01/13/2017,76.02,39020,75.84,76.18,75.84
01/12/2017,75.84,20917,75.86,75.8801,75.33
01/11/2017,76.15,58773,75.79,76.21,75.57
01/10/2017,75.70,63383,75.29,76.17,75.29
01/09/2017,74.70,76143,74.50,74.841,74.43
01/06/2017,74.36,69987,74.70,74.70,74.0901
01/05/2017,74.78,97957,74.18,74.98,74.18
01/04/2017,73.56,84383,72.93,73.82,72.93
01/03/2017,72.63,112803,72.48,73.0839,72.38
12/30/2016,72.05,35384,72.39,72.5999,71.85
12/29/2016,72.04,137931,71.84,72.29,71.84
12/28/2016,71.14,35761,71.49,71.49,71.06
12/27/2016,70.67,26431,70.64,71.01,70.64
12/23/2016,70.54,80231,70.33,70.7099,70.33
12/22/2016,70.50,112549,70.76,70.76,70.38
12/21/2016,71.30,47417,71.53,71.58,71.29
12/20/2016,71.42,76227,71.30,71.57,71.30
12/19/2016,71.44,63757,71.54,71.7627,71.3881
12/16/2016,71.71,42135,72.14,72.41,71.62
12/15/2016,73.34,82256,73.58,73.83,73.30
12/14/2016,74.04,53998,74.91,75.38,73.9721
12/13/2016,75.63,36792,75.28,75.8949,75.28
12/12/2016,74.72,65324,75.02,75.10,74.48
12/09/2016,76.31,54690,76.11,76.38,76.015
12/08/2016,76.77,160724,76.45,76.93,76.32
12/07/2016,76.65,203005,75.91,76.94,75.91
12/06/2016,75.85,166699,75.79,75.909,75.62
12/05/2016,75.82,112211,75.77,76.09,75.64
12/02/2016,75.96,50425,75.97,76.31,75.74
12/01/2016,76.42,54142,76.85,76.85,76.1059
11/30/2016,76.91,23013,77.19,77.27,76.8814
11/29/2016,77.03,41553,76.59,77.25,76.51
11/28/2016,76.59,36995,76.78,77.07,76.54
11/25/2016,76.33,31339,76.40,76.41,76.2008
11/23/2016,75.70,18502,75.51,75.8034,75.40
11/22/2016,76.06,81417,76.25,76.25,75.8201
11/21/2016,75.24,32480,75.21,75.49,75.11
11/18/2016,74.89,31897,75.05,75.10,74.72
11/17/2016,75.05,81677,74.83,75.22,74.70
11/16/2016,74.52,47593,74.47,74.79,74.3085
11/15/2016,75.16,122971,74.17,75.305,74.17
11/14/2016,73.61,66741,74.12,74.21,73.2495
11/11/2016,74.64,32240,74.27,75.0101,73.93
11/10/2016,75.62,44399,76.83,76.83,75.00
11/09/2016,76.64,71301,76.495,77.45,76.34
11/08/2016,78.10,87889,77.26,78.57,77.13
11/07/2016,77.70,43532,77.22,77.9812,77.22
11/04/2016,75.37,50667,75.41,75.75,75.32
11/03/2016,76.00,32642,76.44,76.47,75.92
11/02/2016,76.22,84705,77.02,77.20,75.90
11/01/2016,77.20,149303,78.19,78.19,76.70
10/31/2016,77.25,67831,77.61,77.665,77.25
10/28/2016,77.52,34112,77.88,78.0625,77.36
10/27/2016,78.25,31608,78.70,78.799,78.18
10/26/2016,78.80,44631,79.11,79.2526,78.73
10/25/2016,79.59,18888,79.99,79.99,79.55
10/24/2016,79.91,25608,80.05,80.17,79.74
10/21/2016,79.40,14243,79.00,79.41,79.00
10/20/2016,79.33,25063,79.26,79.5899,79.11
10/19/2016,79.50,74261,79.47,79.73,79.29
10/18/2016,79.38,37973,79.69,79.69,79.3401
10/17/2016,78.36,38777,78.37,78.60,78.29
10/14/2016,78.81,46808,79.08,79.40,78.71
10/13/2016,78.46,181880,78.18,78.72,77.41
10/12/2016,79.46,41012,79.32,79.57,79.129
10/11/2016,79.55,132146,80.39,80.39,79.18
10/10/2016,81.74,108871,81.03,82.00,81.03
